id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
601,Demeaco,Duhaney,10,38,2,0,0,1,45,0,1.6,2.8,0.0,0,1,0.4,0,0,0,0.0,40
213,Kasper,Schmeichel,11,13,1,0,0,86,2520,39,0.0,527.8,4.0,6,445,53.0,7,0,2,4.8,50
214,Eldin,Jakupovic,11,13,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
215,Wes,Morgan,11,13,2,1,0,46,1480,23,37.3,307.8,197.0,2,256,54.3,5,2,1,0.9,45
216,Christian,Fuchs,11,13,2,0,0,2,180,5,85.4,44.2,14.0,0,35,14.3,0,0,0,0.4,41
217,Danny,Simpson,11,13,2,0,0,11,275,4,12.5,73.4,2.0,0,47,8.8,1,0,0,0.2,42
218,Yohan,Benalouane,11,13,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39
219,Benjamin,Chilwell,11,13,2,0,3,83,2340,34,449.3,495.0,220.0,8,405,116.9,7,0,3,2.4,50
220,Harry,Maguire,11,13,2,3,1,73,1963,33,133.5,569.4,387.0,8,412,108.9,4,0,5,9.1,54
221,Ricardo Domingos,Barbosa Pereira,11,13,2,2,6,104,2223,36,384.8,662.6,308.0,14,479,135.5,7,0,5,14.8,54
222,Jonny,Evans,11,13,2,1,0,49,1273,19,50.5,277.8,129.0,1,259,45.8,5,0,2,0.4,48
224,Marc,Albrighton,11,13,3,2,2,52,1300,15,327.8,322.8,197.0,4,237,84.8,3,0,3,0.4,51
225,Demarai,Gray,11,13,3,4,1,69,1537,23,241.1,292.4,508.0,3,200,103.9,5,0,2,0.9,54
226,Daniel,Amartey,11,13,3,0,0,15,639,9,46.7,139.0,21.0,0,103,20.8,1,0,2,0.2,43
227,Wilfred,Ndidi,11,13,3,2,0,69,2488,38,246.3,516.4,285.0,4,401,104.9,7,0,7,0.8,49
228,Vicente,Iborra,11,13,3,0,0,9,224,4,27.8,26.8,25.0,0,31,8.0,0,0,0,0.0,47
229,Matty,James,11,13,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
230,Hamza,Choudhury,11,13,3,0,0,11,332,3,30.5,67.2,41.0,0,41,14.0,2,0,0,0.1,43
231,Adrien Sebastian,Perruchet Silva,11,13,3,0,0,3,87,1,6.3,14.2,0.0,0,16,2.1,0,0,0,0.2,47
232,Fousseni,Diabaté,11,13,3,0,0,1,54,1,15.8,7.4,0.0,0,4,2.3,0,0,0,0.0,46
233,James,Maddison,11,13,3,5,5,95,1986,35,1107.2,577.2,526.0,8,453,220.8,5,1,2,4.6,66
234,Jamie,Vardy,11,13,4,9,3,98,1835,28,256.5,448.6,759.0,17,313,146.2,8,1,3,4.9,88
235,Shinji,Okazaki,11,13,4,0,1,22,198,4,24.6,40.4,69.0,0,54,13.2,0,0,0,0.5,52
236,Kelechi,Iheanacho,11,13,4,1,5,53,881,15,206.3,131.4,206.0,3,150,53.8,1,0,1,0.9,57
457,Danny,Ward,11,13,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
492,Rachid,Ghezzal,11,13,3,1,0,26,714,13,304.5,144.2,226.0,2,104,67.4,1,0,3,0.1,50
501,Filip,Benkovic,11,13,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
515,Çaglar,Söyüncü,11,13,2,0,0,7,281,3,2.2,59.2,22.0,0,37,8.4,0,0,1,0.0,49
527,Nampalys,Mendy,11,13,3,0,1,51,2007,28,116.9,224.6,22.0,0,270,36.4,7,0,5,1.0,45
558,Josh,Knight,11,13,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
571,Harvey,Barnes,11,13,3,0,2,17,468,10,115.7,64.8,308.0,0,56,48.8,0,0,0,0.3,55
591,Youri,Tielemans,11,13,3,0,1,8,231,6,69.7,46.8,62.0,0,46,17.9,0,0,1,0.1,60
